id	sentence	cg_supertags
211	Si Dupont et Dubois n' ont pas signé le contrat , Durand a signé le contrat .	['dr(0,dr(0,s,s),s)', 'np', 'dr(0,dl(0,np,np),np)', 'np', 'dr(0,dl(0,np,s),dl(0,np,s))', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s),dl(0,np,s))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'let', 'np', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
212	Exactement deux juristes et trois comptables ont signé le contrat .	['dr(0,s,s)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,np),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
213	Six juristes ont signé le contrat .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
214	Exactement deux juristes et trois comptables ont signé le contrat .	['dr(0,s,s)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,np),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
215	Six comptables ont signé le contrat .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
216	Tous les représentants et les clients étaient à la réunion .	['dr(0,np,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,np),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),pp)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
217	Tous les représentants étaient à la réunion .	['dr(0,np,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),pp)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
218	Tous les représentants et les clients étaient à la réunion .	['dr(0,np,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,np),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),pp)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
219	Tous les représentants étaient à la réunion .	['dr(0,np,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),pp)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
220	Tous les représentants ou les clients étaient à la réunion .	['dr(0,np,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,np),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),pp)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
221	Tous les représentants et tous les clients étaient à la réunion .	['dr(0,np,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,np),np)', 'dr(0,np,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),pp)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
222	Le président donne lecture des points inscrits à l' ordre du jour .	['dr(0,np,n)', 'n', 'dr(0,dr(0,dl(0,np,s),pp),np)', 'np', 'dr(0,pp_de,n)', 'n', 'dr(0,dl(0,n,n),pp)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,s,txt)']
223	Le président a lu tous les points à l' ordre du jour .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,s,txt)']
224	Les personnes qui ont assisté à la réunion ont voté pour un nouveau président .	['dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s))', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),pp_a)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),pp)', 'dr(0,pp,np)', 'dr(0,np,n)', 'dr(0,n,n)', 'n', 'dl(0,s,txt)']
225	Chacun à la réunion a voté pour un nouveau président .	['np', 'dr(0,dl(0,np,np),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),pp)', 'dr(0,pp,np)', 'dr(0,np,n)', 'dr(0,n,n)', 'n', 'dl(0,s,txt)']
226	Toutes les personnes qui ont assisté à la réunion ont voté pour un nouveau président .	['dr(0,np,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s))', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),pp_a)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),pp)', 'dr(0,pp,np)', 'dr(0,np,n)', 'dr(0,n,n)', 'n', 'dl(0,s,txt)']
227	Chacun à la réunion a voté pour un nouveau président .	['np', 'dr(0,dl(0,np,np),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),pp)', 'dr(0,pp,np)', 'dr(0,np,n)', 'dr(0,n,n)', 'n', 'dl(0,s,txt)']
228	Les personnes qui ont assisté à la réunion ont toutes voté pour un nouveau président .	['dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s))', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),pp_a)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s),dl(0,np,s))', 'dr(0,dl(0,np,s_ppart),pp)', 'dr(0,pp,np)', 'dr(0,np,n)', 'dr(0,n,n)', 'n', 'dl(0,s,txt)']
229	Chacun à la réunion a voté pour un nouveau président .	['np', 'dr(0,dl(0,np,np),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),pp)', 'dr(0,pp,np)', 'dr(0,np,n)', 'dr(0,n,n)', 'n', 'dl(0,s,txt)']
230	Les habitants de Cambridge ont voté pour un candidat du parti travailliste .	['dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),np)', 'np', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),pp)', 'dr(0,pp,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
231	Tous les habitants de Cambridge ont voté pour un candidat du parti travailliste .	['dr(0,np,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),np)', 'np', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),pp)', 'dr(0,pp,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
232	Les grecs anciens étaient des philosophes réputés .	['dr(0,np,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
233	Tous les grecs anciens étaient des philosophes réputés .	['dr(0,np,np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
234	Les grecs anciens étaient tous des philosophes réputés .	['dr(0,np,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,np,s),np)', 'dl(1,s,s)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
235	Tous les grecs anciens étaient des philosophes réputés .	['dr(0,np,np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
236	La panne du système a été attribuée à des erreurs logicielles .	['dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),dl(0,np,s_pass))', 'dr(0,dl(0,np,s_pass),pp_a)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
237	La panne du système a été attribuée à une ou plusieurs erreurs logicielles .	['dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),dl(0,np,s_pass))', 'dr(0,dl(0,np,s_pass),pp_a)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'dr(0,dl(0,dr(0,np,n),dr(0,np,n)),dr(0,np,n))', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
238	La panne du système a été attribuée à des erreurs logicielles .	['dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),dl(0,np,s_pass))', 'dr(0,dl(0,np,s_pass),pp_a)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
239	Le bug numéro 32-985 est une erreur logicielle connue .	['dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),np)', 'dl(0,n,n)', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,n,n)', 'dl(0,s,txt)']
240	La panne du système a été attribuée au bug numéro 32-985 .	['dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),dl(0,np,s_pass))', 'dr(0,dl(0,np,s_pass),pp_a)', 'dr(0,pp_a,n)', 'n', 'dl(0,n,n)', 'dl(0,n,n)', 'dl(0,s,txt)']
241	Les clients présents à la démonstration ont tous été impressionnés par les performances du système .	['dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),pp)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s),dl(0,np,s))', 'dr(0,dl(0,np,s_ppart),dl(0,np,s_pass))', 'dr(0,dl(0,np,s_pass),pp_par)', 'dr(0,pp_par,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,s,txt)']
242	Dupont était un des clients présents à la démonstration .	['np', 'dr(0,dl(0,np,s),np)', 'np', 'dr(0,dl(0,np,np),n)', 'n', 'dl(0,n,n)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
243	Dupont a été impressionnée par les performances du système .	['np', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),dl(0,np,s_pass))', 'dr(0,dl(0,np,s_pass),pp_par)', 'dr(0,pp_par,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,s,txt)']
244	Les clients présents à la démonstration ont été impressionné par les performances du système .	['dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),pp)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),dl(0,np,s_pass))', 'dr(0,dl(0,np,s_pass),pp_par)', 'dr(0,pp_par,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,s,txt)']
245	La plupart des clients présents à la démonstration ont été impressionnées par les performances du système .	['dr(0,np,n)', 'dr(0,n,pp_de)', 'dr(0,pp_de,n)', 'n', 'dr(0,dl(0,n,n),pp)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),dl(0,np,s_pass))', 'dr(0,dl(0,np,s_pass),pp_par)', 'dr(0,pp_par,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,s,txt)']
246	Les diplômés universitaires font de médiocres agents boursiers .	['dr(0,np,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'dr(0,n,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
247	Dupont est un diplômé universitaire .	['np', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
248	Il est probable que Dupont fasse un médiocre agent boursier .	['np', 'dr(0,dr(0,dl(0,np,s),s_q),dl(0,n,n))', 'dl(0,n,n)', 'dr(0,s_q,s)', 'np', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'dr(0,n,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
249	Les diplômés universitaires font de médiocres agents boursiers .	['dr(0,np,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'dr(0,n,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
250	Dupont est un diplômé universitaire .	['np', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
251	Dupont fera un médiocre agent boursier .	['np', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'dr(0,n,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
252	Tous les gestionnaires de l' APCOM ont une voiture de fonction .	['dr(0,np,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,s,txt)']
253	Durand est un gestionnaire de l' APCOM .	['np', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
254	Durand a une voiture de fonction .	['np', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,s,txt)']
255	Tous les cadres d' APCOM ont des voitures de fonctions .	['dr(0,np,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),np)', 'np', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,s,txt)']
256	Durand est un cadre d' APCOM .	['np', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),np)', 'np', 'dl(0,s,txt)']
257	Durand a plus d' une voiture de fonction .	['np', 'dr(0,dl(0,np,s),np)', 'dr(0,np,pp_de)', 'dr(0,pp_de,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,s,txt)']
258	Un seul comptable a assisté à la réunion .	['dr(0,np,n)', 'dr(0,n,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),pp_a)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
259	Aucun des comptables n' a assisté à la réunion .	['np', 'dr(0,dl(0,np,np),n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s))', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),pp_a)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
260	Un seul comptable a assisté à la réunion .	['dr(0,np,n)', 'dr(0,n,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),pp_a)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
261	Aucun comptable n' a assisté à la réunion .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s))', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),pp_a)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
262	Un seul comptable a assisté à la réunion .	['dr(0,np,n)', 'dr(0,n,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),pp_a)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
263	Des comptables ont assisté à la réunion .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),pp_a)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
264	Un seul comptable a assisté à la réunion .	['dr(0,np,n)', 'dr(0,n,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),pp_a)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
265	Un comptable a assisté à la réunion .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),pp_a)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
266	Un seul comptable a assisté à la réunion .	['dr(0,np,n)', 'dr(0,n,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),pp_a)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
267	Plusieurs comptables ont assisté à la réunion .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),pp_a)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
268	Un seul comptable a assisté à la réunion .	['dr(0,np,n)', 'dr(0,n,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),pp_a)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
269	Un comptable a assisté à la réunion .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),pp_a)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
270	Dupont a signé un contrat .	['np', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
271	Durand a signé un autre contrat .	['np', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'dr(0,n,n)', 'n', 'dl(0,s,txt)']
272	Dupont et Durand ont signé deux contrats .	['np', 'dr(0,dl(0,np,np),np)', 'np', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
273	Dupont a signé deux contrats .	['np', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
274	Durand a signé deux contrats .	['np', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
275	Dupont et Durand ont signé deux contrats .	['np', 'dr(0,dl(0,np,np),np)', 'np', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
276	Dupont a signé deux contrats .	['np', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
277	Durand les a signés aussi .	['np', 'dr(0,dl(0,np,s),dr(0,dl(0,np,s),dia(1,box(1,np))))', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dl(1,s,s)', 'dl(0,s,txt)']
278	Dupont et Durand ont signé deux contrats .	['np', 'dr(0,dl(0,np,np),np)', 'np', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
279	Marie a utilisé son ordinateur .	['np', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
280	L' ordinateur de Marie a été utilisé .	['dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),np)', 'np', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),dl(0,np,s_pass))', 'dl(0,np,s_pass)', 'dl(0,s,txt)']
281	Marie a utilisé son ordinateur .	['np', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
282	Marie a un ordinateur .	['np', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
283	Marie a utilisé son ordinateur .	['np', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
284	Marie est une femme .	['np', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
285	Tout étudiant a utilisé son ordinateur .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
286	Marie est une étudiante .	['np', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
287	Marie a utilisé son ordinateur .	['np', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
288	Toute étudiante a utilisé son ordinateur .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
289	Marie est étudiante .	['np', 'dr(0,dl(0,np,s),dl(0,n,n))', 'dl(0,n,n)', 'dl(0,s,txt)']
290	Marie a un ordinateur .	['np', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
291	Aucune étudiante n' a utilisé son ordinateur .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s))', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
292	Marie est étudiante .	['np', 'dr(0,dl(0,np,s),dl(0,n,n))', 'dl(0,n,n)', 'dl(0,s,txt)']
293	Marie a utilisé un ordinateur .	['np', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
294	Dupont a assisté à une réunion .	['np', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),pp_a)', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
295	Elle l' a présidée .	['np', 'dr(0,dl(0,np,s),dr(0,dl(0,np,s),dia(1,box(1,np))))', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dl(0,s,txt)']
296	Dupont a présidé une réunion .	['np', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
297	Dupont a remis un rapport à ITEL .	['np', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dr(0,dl(0,np,s_ppart),pp_a),np)', 'dr(0,np,n)', 'n', 'dr(0,pp_a,np)', 'np', 'dl(0,s,txt)']
298	Elle leur a également remis une facture .	['np', 'dr(0,dl(0,np,s),dr(0,dl(0,np,s),dia(1,box(1,pp_a))))', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s),dl(0,np,s))', 'dr(0,dr(0,dl(0,np,s_ppart),pp_a),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
299	Et elle leur a remis une proposition de projet .	['dr(0,s,s)', 'np', 'dr(0,dl(0,np,s),dr(0,dl(0,np,s),dia(1,box(1,pp_a))))', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dr(0,dl(0,np,s_ppart),pp_a),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,s,txt)']
300	Dupont a remis un rapport , une facture et une proposition de projet à ITEL .	['np', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dr(0,dl(0,np,s_ppart),pp_a),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,np),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,np),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dr(0,pp_a,np)', 'np', 'dl(0,s,txt)']
301	Tout comité a un président .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
302	Il est désigné par ses membres .	['np', 'dr(0,dl(0,np,s),dl(0,np,s_pass))', 'dr(0,dl(0,np,s_pass),pp_par)', 'dr(0,pp_par,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
303	Tout comité a un président désigné par les membres du comité .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),pp_par)', 'dr(0,pp_par,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,s,txt)']
304	ITEL a envoyé la plupart des rapports dont Dupont a besoin .	['np', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'dr(0,n,pp_de)', 'dr(0,pp_de,n)', 'n', 'dr(0,dl(0,n,n),dr(0,s,dia(1,box(1,pp_de))))', 'np', 'dr(0,dr(0,dl(0,np,s),pp),np)', 'np', 'dl(0,s,txt)']
305	Ils sont sur son bureau .	['np', 'dr(0,dl(0,np,s),pp)', 'dr(0,pp,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
